rest_key,rest_coop,reporting_day,daypart_name,daypart_description,daypart_sales,daypart_transaction_qty
1364,SEA/TCA WA CP-0024,2010-01-02,After 4PM,4PM - Close,1529.84,235
1364,SEA/TCA WA CP-0024,2010-01-02,Afternoon,2PM - 4PM,539.2,75
1364,SEA/TCA WA CP-0024,2010-01-02,Breakfast,Open - 10:30AM (11AM weekend),1027.4,180
1364,SEA/TCA WA CP-0024,2010-01-02,Dinner,4PM - 9PM,957.24,156
1364,SEA/TCA WA CP-0024,2010-01-02,Evening,9PM - Close,572.6,79
1364,SEA/TCA WA CP-0024,2010-01-02,Late Night,11PM - 5AM,222.55,31
1364,SEA/TCA WA CP-0024,2010-01-02,Lunch,11AM -  2PM,950.53,159
1364,SEA/TCA WA CP-0024,2010-01-02,Morning,Open - 11AM,1027.4,180
1364,SEA/TCA WA CP-0024,2010-01-02,Regular Menu,10:30AM (11AM weekend) - Close,3019.57,469
1364,SEA/TCA WA CP-0024,2010-01-02,Total Day,All hours,4046.97,649
1364,SEA/TCA WA CP-0024,2010-01-03,After 4PM,4PM - Close,1397.96,198
1364,SEA/TCA WA CP-0024,2010-01-03,Afternoon,2PM - 4PM,613.56,83
1364,SEA/TCA WA CP-0024,2010-01-03,Breakfast,Open - 10:30AM (11AM weekend),971.19,169
1364,SEA/TCA WA CP-0024,2010-01-03,Dinner,4PM - 9PM,1138.37,157
1364,SEA/TCA WA CP-0024,2010-01-03,Evening,9PM - Close,259.59,41
1364,SEA/TCA WA CP-0024,2010-01-03,Late Night,11PM - 5AM,48.15,9
1364,SEA/TCA WA CP-0024,2010-01-03,Lunch,11AM -  2PM,909.53,133
1364,SEA/TCA WA CP-0024,2010-01-03,Morning,Open - 11AM,971.19,169
1364,SEA/TCA WA CP-0024,2010-01-03,Regular Menu,10:30AM (11AM weekend) - Close,2921.05,414
1364,SEA/TCA WA CP-0024,2010-01-03,Total Day,All hours,3892.24,583
1364,SEA/TCA WA CP-0024,2010-01-04,After 4PM,4PM - Close,1583.05,244
1364,SEA/TCA WA CP-0024,2010-01-04,Afternoon,2PM - 4PM,497.62,90
1364,SEA/TCA WA CP-0024,2010-01-04,Breakfast,Open - 10:30AM (11AM weekend),817.03,211
1364,SEA/TCA WA CP-0024,2010-01-04,Dinner,4PM - 9PM,1248.88,187
1364,SEA/TCA WA CP-0024,2010-01-04,Evening,9PM - Close,334.17,57
1364,SEA/TCA WA CP-0024,2010-01-04,Late Night,11PM - 5AM,65.43,10
1364,SEA/TCA WA CP-0024,2010-01-04,Lunch,11AM -  2PM,869.66,162
1364,SEA/TCA WA CP-0024,2010-01-04,Morning,Open - 11AM,858.89,222
1364,SEA/TCA WA CP-0024,2010-01-04,Regular Menu,10:30AM (11AM weekend) - Close,2992.19,507
1364,SEA/TCA WA CP-0024,2010-01-04,Total Day,All hours,3809.22,718
1364,SEA/TCA WA CP-0024,2010-01-05,After 4PM,4PM - Close,1674.46,254
1364,SEA/TCA WA CP-0024,2010-01-05,Afternoon,2PM - 4PM,480.8,103
1364,SEA/TCA WA CP-0024,2010-01-05,Breakfast,Open - 10:30AM (11AM weekend),923.24,214
1364,SEA/TCA WA CP-0024,2010-01-05,Dinner,4PM - 9PM,1313.03,200
1364,SEA/TCA WA CP-0024,2010-01-05,Evening,9PM - Close,361.43,54
1364,SEA/TCA WA CP-0024,2010-01-05,Late Night,11PM - 5AM,38.15,8
1364,SEA/TCA WA CP-0024,2010-01-05,Lunch,11AM -  2PM,927.75,163
