rest_key,rest_coop,reporting_day,daypart_name,daypart_description,daypart_sales,daypart_transaction_qty,Weekday
1364,SEA/TCA WA CP-0024,2011-01-01,AFTER 4PM,4PM - Close,1627.39,248,Saturday
1364,SEA/TCA WA CP-0024,2011-01-01,AFTERNOON,2PM - 4PM,736.38,103,Saturday
1364,SEA/TCA WA CP-0024,2011-01-01,BREAKFAST,Open - 10:30AM (11AM weekend),646.95,104,Saturday
1364,SEA/TCA WA CP-0024,2011-01-01,DINNER,4PM - 9PM,1375.57,207,Saturday
1364,SEA/TCA WA CP-0024,2011-01-01,EVENING,9PM - Close,251.82,41,Saturday
1364,SEA/TCA WA CP-0024,2011-01-01,LATE NIGHT,11PM - 5AM,0.0,0,Saturday
1364,SEA/TCA WA CP-0024,2011-01-01,LUNCH,11AM -  2PM,937.46,133,Saturday
1364,SEA/TCA WA CP-0024,2011-01-01,MORNING,Open - 11AM,646.95,104,Saturday
1364,SEA/TCA WA CP-0024,2011-01-01,REGULAR MENU,10:30AM (11AM weekend) - Close,3301.23,484,Saturday
1364,SEA/TCA WA CP-0024,2011-01-01,TOTAL DAY,All hours,3948.18,588,Saturday
1364,SEA/TCA WA CP-0024,2011-01-02,AFTER 4PM,4PM - Close,1368.46,218,Sunday
1364,SEA/TCA WA CP-0024,2011-01-02,AFTERNOON,2PM - 4PM,806.7,114,Sunday
1364,SEA/TCA WA CP-0024,2011-01-02,BREAKFAST,Open - 10:30AM (11AM weekend),878.0,156,Sunday
1364,SEA/TCA WA CP-0024,2011-01-02,DINNER,4PM - 9PM,997.89,167,Sunday
1364,SEA/TCA WA CP-0024,2011-01-02,EVENING,9PM - Close,370.57,51,Sunday
1364,SEA/TCA WA CP-0024,2011-01-02,LATE NIGHT,11PM - 5AM,0.0,0,Sunday
1364,SEA/TCA WA CP-0024,2011-01-02,LUNCH,11AM -  2PM,968.71,149,Sunday
1364,SEA/TCA WA CP-0024,2011-01-02,MORNING,Open - 11AM,878.0,156,Sunday
1364,SEA/TCA WA CP-0024,2011-01-02,REGULAR MENU,10:30AM (11AM weekend) - Close,3143.87,481,Sunday
1364,SEA/TCA WA CP-0024,2011-01-02,TOTAL DAY,All hours,4021.87,637,Sunday
1364,SEA/TCA WA CP-0024,2011-01-03,AFTER 4PM,4PM - Close,1438.61,235,Monday
1364,SEA/TCA WA CP-0024,2011-01-03,AFTERNOON,2PM - 4PM,575.47,110,Monday
1364,SEA/TCA WA CP-0024,2011-01-03,BREAKFAST,Open - 10:30AM (11AM weekend),852.11,202,Monday
